wo_id,machine_id,component,wo_type,failure_code,description,open_date,close_date,smu_at_wo,downtime_hours,parts_cost,labour_cost
WO0000526,EX-012,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2025-02-08,2025-02-09,12658.7,4.9,898.2,273.41
WO0000504,EX-012,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2025-04-15,2025-04-16,13156.1,4.9,345.6,218.67
WO0000539,EX-012,OTHER,CM,MSC-GEN,Cab / electrical / body repair,2025-06-08,2025-06-10,,11.3,2757.95,411.76
WO0000505,EX-012,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2025-06-12,2025-06-13,13644.1,3.3,742.38,151.23
WO0000527,EX-012,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2025-07-27,2025-07-28,14076.9,2.2,801.29,139.23
WO0000506,EX-012,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2025-09-02,2025-09-03,14328.5,3.6,635.39,326.87
WO0000517,EX-012,HYDRAULIC,PM,PM-OIL,Scheduled hydraulic oil and filter change,2025-09-03,2025-09-04,14272.7,3.7,511.46,298.91
WO0000535,EX-012,FINAL_DRIVE,PM,PM-OIL,Scheduled final_drive oil and filter change,2025-09-14,2025-09-15,14511.6,4.4,233.78,386.16
WO0000507,EX-012,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2025-11-04,2025-11-05,14853.8,3.3,691.15,313.44
WO0000536,EX-012,FINAL_DRIVE,CM,FDR-SEAL,Duo-cone seal leak,2025-12-01,2025-12-11,15263.3,116.6,35052.39,7462.53
WO0000528,EX-012,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2025-12-19,2025-12-20,15287.4,4.0,411.68,198.47
WO0000529,EX-012,TRANSMISSION,CM,TRN-GER,Gear / clutch pack wear,2025-12-30,2026-01-07,15824.2,50.4,31542.5,4585.68
WO0000508,EX-012,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2026-01-03,2026-01-04,15356.2,4.0,521.29,135.39
WO0000509,EX-012,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2026-03-06,2026-03-07,15872.3,3.3,270.53,254.93
WO0000538,EX-012,FINAL_DRIVE,CM,FDR-GER,Final drive gear wear,2026-04-16,2026-04-27,16766.9,109.1,8058.92,6801.69
WO0000530,EX-012,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2026-04-20,2026-04-21,16302.4,4.3,237.36,173.54
WO0000540,EX-012,OTHER,CM,MSC-GEN,Cab / electrical / body repair,2026-05-05,2026-05-07,,7.6,641.57,579.2
WO0000510,EX-012,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2026-05-13,2026-05-14,16437.0,2.5,567.11,126.99
WO0000518,EX-012,HYDRAULIC,PM,PM-OIL,Scheduled hydraulic oil and filter change,2026-05-31,2026-06-01,16528.0,4.0,880.0,226.24
WO0000537,EX-012,FINAL_DRIVE,PM,PM-OIL,Scheduled final_drive oil and filter change,2026-06-11,2026-06-12,16766.9,3.9,173.63,300.47
WO0000579,EX-013,OTHER,CM,MSC-GEN,Cab / electrical / body repair,2023-01-21,2023-01-23,,18.2,2033.19,755.43
WO0000541,EX-013,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2023-02-20,2023-02-21,2214.9,3.0,253.98,336.17
WO0000562,EX-013,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2023-03-19,2023-03-20,2569.7,5.9,436.99,226.77
WO0000542,EX-013,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2023-04-21,2023-04-22,2682.9,5.8,400.67,140.32
WO0000564,EX-013,TRANSMISSION,CM,TRN-BRG,Transmission bearing wear,2023-07-03,2023-07-08,3666.5,30.2,25135.82,5446.96
WO0000580,EX-013,OTHER,CM,MSC-GEN,Cab / electrical / body repair,2023-07-05,2023-07-07,,9.1,2923.72,138.24
WO0000543,EX-013,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2023-07-20,2023-07-21,3378.0,6.0,206.87,285.36
WO0000563,EX-013,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2023-08-08,2023-08-09,3666.5,2.7,879.88,284.37
WO0000558,EX-013,HYDRAULIC,PM,PM-OIL,Scheduled hydraulic oil and filter change,2023-09-27,2023-09-28,4057.9,3.4,281.33,162.3
WO0000573,EX-013,FINAL_DRIVE,PM,PM-OIL,Scheduled final_drive oil and filter change,2023-09-29,2023-09-30,3999.3,5.1,872.4,147.75
WO0000544,EX-013,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2023-10-01,2023-10-02,3943.5,3.1,275.86,127.59
WO0000578,EX-013,OTHER,CM,MSC-GEN,Cab / electrical / body repair,2023-12-02,2023-12-04,,5.4,1608.8,891.3
WO0000545,EX-013,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2023-12-11,2023-12-12,4494.1,4.0,700.41,305.81
WO0000565,EX-013,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2024-01-04,2024-01-05,4828.3,4.8,573.89,267.06
WO0000566,EX-013,TRANSMISSION,CM,TRN-BRG,Transmission bearing wear,2024-01-04,2024-01-15,4828.3,8.8,18451.76,5993.42
WO0000546,EX-013,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2024-03-04,2024-03-05,5145.8,4.2,523.75,391.19
WO0000547,EX-013,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2024-05-10,2024-05-11,5665.6,5.3,741.18,100.73
WO0000559,EX-013,HYDRAULIC,PM,PM-OIL,Scheduled hydraulic oil and filter change,2024-06-23,2024-06-24,6152.1,4.5,848.05,321.93
WO0000574,EX-013,FINAL_DRIVE,PM,PM-OIL,Scheduled final_drive oil and filter change,2024-06-25,2024-06-26,6093.6,4.2,410.24,204.19
WO0000567,EX-013,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2024-06-28,2024-06-29,6193.6,4.6,694.51,393.15
WO0000548,EX-013,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2024-07-19,2024-07-20,6209.1,5.2,414.84,236.6
WO0000549,EX-013,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2024-09-23,2024-09-24,6723.5,4.5,722.82,329.78
WO0000568,EX-013,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2024-11-15,2024-11-16,7278.6,4.4,492.67,152.96
WO0000550,EX-013,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2024-12-01,2024-12-02,7255.0,4.4,800.06,282.36
WO0000551,EX-013,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2025-02-04,2025-02-05,7763.0,2.6,529.4,275.11
WO0000569,EX-013,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2025-03-25,2025-03-26,8281.7,5.5,385.45,302.01
WO0000552,EX-013,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2025-04-04,2025-04-05,8218.3,3.8,624.27,169.71
WO0000560,EX-013,HYDRAULIC,PM,PM-OIL,Scheduled hydraulic oil and filter change,2025-05-18,2025-05-19,8700.6,5.6,337.14,233.14
WO0000575,EX-013,FINAL_DRIVE,PM,PM-OIL,Scheduled final_drive oil and filter change,2025-05-27,2025-05-28,8696.5,4.3,599.89,380.48
WO0000553,EX-013,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2025-07-07,2025-07-08,8946.9,4.5,472.15,364.78
WO0000571,EX-013,TRANSMISSION,CM,TRN-GER,Gear / clutch pack wear,2025-08-15,2025-08-21,9420.1,72.3,39658.2,4964.63
WO0000570,EX-013,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2025-08-18,2025-08-19,9420.1,4.3,846.48,236.89
WO0000554,EX-013,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2025-09-12,2025-09-13,9465.9,3.9,560.47,188.88
WO0000555,EX-013,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2025-12-09,2025-12-10,10150.5,5.7,882.44,164.52
WO0000577,EX-013,FINAL_DRIVE,CM,FDR-SEAL,Duo-cone seal leak,2026-01-21,2026-01-23,10790.7,75.5,15743.28,1146.51
WO0000572,EX-013,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2026-01-28,2026-01-29,10684.3,4.6,400.9,398.24
WO0000556,EX-013,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2026-02-09,2026-02-10,10628.4,3.2,583.34,289.27
WO0000561,EX-013,HYDRAULIC,PM,PM-OIL,Scheduled hydraulic oil and filter change,2026-02-12,2026-02-13,10794.9,5.6,154.67,341.85
WO0000576,EX-013,FINAL_DRIVE,PM,PM-OIL,Scheduled final_drive oil and filter change,2026-02-21,2026-02-22,10790.7,2.9,477.69,114.66
WO0000557,EX-013,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2026-04-30,2026-05-01,11254.3,6.0,874.47,326.81
WO0000581,EX-014,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2023-03-08,2023-03-09,6764.5,5.8,886.2,136.39
WO0000582,EX-014,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2023-05-09,2023-05-10,7284.2,2.2,706.14,116.51
WO0000609,EX-014,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2023-06-06,2023-06-07,7384.7,4.2,771.78,296.42
WO0000583,EX-014,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2023-07-08,2023-07-09,7789.0,2.1,610.49,213.36
WO0000602,EX-014,HYDRAULIC,PM,PM-OIL,Scheduled hydraulic oil and filter change,2023-07-16,2023-07-17,7787.4,4.8,499.07,323.21
WO0000584,EX-014,ENGINE,CM,ENG-INJ,Injector leak / fuel dilution,2023-08-01,2023-08-08,8042.0,48.6,34120.01,7814.01
WO0000587,EX-014,ENGINE,CM,ENG-AIR,Air induction leak / dirt ingress,2023-08-30,2023-09-10,8317.6,100.7,20139.9,1276.64
WO0000586,EX-014,ENGINE,CM,ENG-AIR,Air induction leak / dirt ingress,2023-09-06,2023-09-10,8317.6,43.4,44264.53,5904.54
WO0000585,EX-014,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2023-09-08,2023-09-09,8317.6,2.0,375.48,207.98
WO0000619,EX-014,FINAL_DRIVE,PM,PM-OIL,Scheduled final_drive oil and filter change,2023-09-19,2023-09-20,8433.1,3.0,444.2,175.91
WO0000610,EX-014,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2023-10-05,2023-10-06,8403.5,4.0,411.44,235.51
WO0000588,EX-014,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2023-11-22,2023-11-23,8941.4,3.9,222.05,222.44
WO0000589,EX-014,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2024-02-02,2024-02-03,9554.0,5.8,398.7,152.92
WO0000611,EX-014,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2024-02-03,2024-02-04,9426.5,4.0,767.66,329.44
WO0000603,EX-014,HYDRAULIC,PM,PM-OIL,Scheduled hydraulic oil and filter change,2024-04-11,2024-04-12,10060.0,4.5,301.12,184.63
WO0000590,EX-014,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2024-04-24,2024-04-25,10240.8,4.1,720.1,296.8
WO0000612,EX-014,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2024-06-09,2024-06-10,10493.9,4.0,211.34,283.61
WO0000620,EX-014,FINAL_DRIVE,PM,PM-OIL,Scheduled final_drive oil and filter change,2024-06-15,2024-06-16,10705.7,5.1,873.81,163.09
WO0000591,EX-014,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2024-06-19,2024-06-20,10712.2,4.5,481.9,382.59
WO0000624,EX-014,OTHER,CM,MSC-GEN,Cab / electrical / body repair,2024-06-24,2024-06-26,,17.2,580.23,635.76
WO0000592,EX-014,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2024-08-23,2024-08-24,11256.9,3.2,420.0,357.15
WO0000613,EX-014,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2024-11-06,2024-11-07,11756.0,2.0,820.75,291.79
WO0000593,EX-014,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2024-11-09,2024-11-10,11913.7,4.3,220.69,312.96
WO0000605,EX-014,HYDRAULIC,CM,HYD-WTR,Water contamination,2024-12-24,2025-01-04,12332.6,77.0,23159.51,3748.13
WO0000604,EX-014,HYDRAULIC,PM,PM-OIL,Scheduled hydraulic oil and filter change,2025-01-06,2025-01-07,12332.6,5.7,401.27,390.01
WO0000606,EX-014,HYDRAULIC,CM,HYD-PMP,Hydraulic pump wear,2025-01-25,2025-02-01,13090.2,71.2,17699.75,3108.81
WO0000594,EX-014,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2025-01-28,2025-01-29,12587.9,4.7,402.21,107.14
WO0000622,EX-014,FINAL_DRIVE,CM,FDR-GER,Final drive gear wear,2025-02-28,2025-03-09,12978.3,44.6,22359.74,1748.16
WO0000621,EX-014,FINAL_DRIVE,PM,PM-OIL,Scheduled final_drive oil and filter change,2025-03-12,2025-03-13,12978.3,5.7,712.03,296.38
WO0000614,EX-014,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2025-04-03,2025-04-04,13005.2,5.5,185.19,184.07
WO0000595,EX-014,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2025-04-20,2025-04-21,13281.5,5.2,669.15,129.78
WO0000596,EX-014,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2025-06-20,2025-06-21,13791.6,6.0,857.07,142.56
WO0000597,EX-014,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2025-08-17,2025-08-18,14279.5,2.1,180.73,209.8
WO0000616,EX-014,TRANSMISSION,CM,TRN-BRG,Transmission bearing wear,2025-08-30,2025-09-06,14489.4,17.7,28014.24,8088.65
WO0000607,EX-014,HYDRAULIC,PM,PM-OIL,Scheduled hydraulic oil and filter change,2025-09-11,2025-09-12,14416.7,5.2,197.85,390.35
WO0000615,EX-014,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2025-09-27,2025-09-28,14489.4,4.3,318.12,207.86
WO0000617,EX-014,TRANSMISSION,CM,TRN-GER,Gear / clutch pack wear,2025-10-15,2025-10-27,14982.6,23.0,20036.45,6679.48
WO0000598,EX-014,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2025-10-21,2025-10-22,14824.9,2.6,812.38,312.33
WO0000623,EX-014,FINAL_DRIVE,PM,PM-OIL,Scheduled final_drive oil and filter change,2025-12-07,2025-12-08,15250.9,2.1,638.15,138.85
WO0000599,EX-014,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2026-01-02,2026-01-03,15439.6,5.1,359.79,257.66
WO0000618,EX-014,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2026-02-26,2026-02-27,15767.8,4.7,847.84,294.09
WO0000600,EX-014,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2026-03-25,2026-03-26,16130.2,4.7,210.19,113.38
WO0000601,EX-014,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2026-06-06,2026-06-07,16749.9,4.1,700.08,193.1
WO0000608,EX-014,HYDRAULIC,PM,PM-OIL,Scheduled hydraulic oil and filter change,2026-06-08,2026-06-09,16689.4,5.9,579.11,229.65
WO0000625,EX-015,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2023-02-19,2023-02-20,6009.9,3.1,609.27,275.38
WO0000661,EX-015,OTHER,CM,MSC-GEN,Cab / electrical / body repair,2023-03-30,2023-04-01,,6.1,1016.97,380.88
WO0000659,EX-015,OTHER,CM,MSC-GEN,Cab / electrical / body repair,2023-04-16,2023-04-18,,13.1,1383.05,720.56
WO0000640,EX-015,HYDRAULIC,PM,PM-OIL,Scheduled hydraulic oil and filter change,2023-04-23,2023-04-24,6350.0,5.4,337.51,255.36
WO0000655,EX-015,FINAL_DRIVE,PM,PM-OIL,Scheduled final_drive oil and filter change,2023-04-25,2023-04-26,6350.0,3.7,862.97,288.43
WO0000641,EX-015,HYDRAULIC,CM,HYD-WTR,Water contamination,2023-04-28,2023-05-03,6889.6,102.3,18058.81,5082.44
WO0000626,EX-015,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2023-06-10,2023-06-11,6674.3,3.1,844.19,378.0
WO0000646,EX-015,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2023-06-11,2023-06-12,6680.6,3.8,383.9,314.03
WO0000627,EX-015,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2023-09-30,2023-10-01,7348.5,3.0,647.76,112.94
WO0000628,EX-015,ENGINE,CM,ENG-COOL,Coolant entering crankcase,2023-10-12,2023-10-19,7624.3,23.2,30009.42,1423.78
WO0000629,EX-015,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2023-12-14,2023-12-15,7796.3,4.5,697.19,143.93
WO0000647,EX-015,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2024-02-08,2024-02-09,8132.9,2.5,899.4,375.35
WO0000630,EX-015,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2024-03-09,2024-03-10,8313.4,5.2,819.47,334.4
WO0000642,EX-015,HYDRAULIC,PM,PM-OIL,Scheduled hydraulic oil and filter change,2024-04-17,2024-04-18,8508.5,2.3,781.07,300.6
WO0000656,EX-015,FINAL_DRIVE,PM,PM-OIL,Scheduled final_drive oil and filter change,2024-04-19,2024-04-20,8508.5,4.0,384.53,362.4
WO0000648,EX-015,TRANSMISSION,CM,TRN-GER,Gear / clutch pack wear,2024-05-15,2024-05-17,9077.8,86.2,1780.23,1496.24
WO0000649,EX-015,TRANSMISSION,CM,TRN-GER,Gear / clutch pack wear,2024-06-20,2024-06-30,9077.8,9.0,29180.45,4656.08
WO0000631,EX-015,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2024-06-25,2024-06-26,8959.4,3.5,270.82,283.61
WO0000632,EX-015,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2024-09-18,2024-09-19,9473.0,3.1,728.75,358.39
WO0000650,EX-015,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2024-10-13,2024-10-14,9617.5,3.0,846.71,229.56
WO0000660,EX-015,OTHER,CM,MSC-GEN,Cab / electrical / body repair,2024-12-12,2024-12-14,,16.4,438.71,657.04
WO0000633,EX-015,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2024-12-21,2024-12-22,10033.4,5.4,885.99,327.03
WO0000644,EX-015,HYDRAULIC,CM,HYD-WTR,Water contamination,2025-01-31,2025-02-11,10666.9,105.7,34270.78,3588.77
WO0000634,EX-015,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2025-03-21,2025-03-22,10574.2,5.6,228.25,209.67
WO0000651,EX-015,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2025-04-01,2025-04-02,10635.6,4.1,271.78,211.97
WO0000643,EX-015,HYDRAULIC,PM,PM-OIL,Scheduled hydraulic oil and filter change,2025-04-12,2025-04-13,10666.9,2.1,868.98,343.99
WO0000657,EX-015,FINAL_DRIVE,PM,PM-OIL,Scheduled final_drive oil and filter change,2025-04-14,2025-04-15,10666.9,4.3,379.38,312.42
WO0000635,EX-015,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2025-07-16,2025-07-17,11274.0,3.8,602.07,263.03
WO0000636,EX-015,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2025-10-14,2025-10-15,11813.0,2.1,853.12,349.24
WO0000637,EX-015,ENGINE,CM,ENG-COOL,Coolant entering crankcase,2025-11-02,2025-11-06,12063.0,38.9,11596.39,1003.74
WO0000652,EX-015,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2025-11-13,2025-11-14,11991.6,3.9,416.9,371.16
WO0000653,EX-015,TRANSMISSION,CM,TRN-BRG,Transmission bearing wear,2025-12-18,2025-12-20,12531.2,79.9,12920.88,3332.98
WO0000638,EX-015,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2026-02-01,2026-02-02,12474.7,2.5,318.22,255.61
WO0000645,EX-015,HYDRAULIC,PM,PM-OIL,Scheduled hydraulic oil and filter change,2026-04-07,2026-04-08,12825.4,2.5,364.67,361.59
WO0000658,EX-015,FINAL_DRIVE,PM,PM-OIL,Scheduled final_drive oil and filter change,2026-04-09,2026-04-10,12825.4,3.2,640.44,109.97
WO0000654,EX-015,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2026-04-21,2026-04-22,12946.6,2.8,733.01,189.23
WO0000639,EX-015,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2026-05-24,2026-05-25,13145.1,5.1,350.94,124.09
WO0000662,EX-016,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2023-03-18,2023-03-19,5216.2,2.8,253.72,238.62
WO0000663,EX-016,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2023-05-27,2023-05-28,5687.6,4.1,519.53,203.01
WO0000682,EX-016,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2023-06-25,2023-06-26,5825.9,3.2,303.53,171.95
WO0000678,EX-016,HYDRAULIC,CM,HYD-SEAL,Cylinder seal / dirt ingress,2023-06-29,2023-07-09,5969.5,41.8,20765.4,4598.14
WO0000689,EX-016,FINAL_DRIVE,PM,PM-OIL,Scheduled final_drive oil and filter change,2023-07-11,2023-07-12,5969.5,3.6,725.58,399.37
WO0000664,EX-016,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2023-08-20,2023-08-21,6260.7,2.6,637.9,372.8
WO0000665,EX-016,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2023-10-29,2023-10-30,6731.6,2.1,693.03,263.16
WO0000683,EX-016,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2023-12-14,2023-12-15,6988.7,5.0,837.99,280.7
WO0000679,EX-016,HYDRAULIC,PM,PM-OIL,Scheduled hydraulic oil and filter change,2024-01-08,2024-01-09,7183.4,4.9,751.37,204.4
WO0000666,EX-016,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2024-01-31,2024-02-01,7369.4,5.4,481.02,379.99
WO0000667,EX-016,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2024-04-12,2024-04-13,7853.2,3.6,803.28,164.78
WO0000695,EX-016,OTHER,CM,MSC-GEN,Cab / electrical / body repair,2024-05-14,2024-05-16,,4.0,1116.02,1028.92
WO0000684,EX-016,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2024-06-22,2024-06-23,8274.6,2.7,834.13,347.26
WO0000668,EX-016,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2024-06-27,2024-06-28,8369.4,3.8,300.22,125.27
WO0000690,EX-016,FINAL_DRIVE,PM,PM-OIL,Scheduled final_drive oil and filter change,2024-07-05,2024-07-06,8397.3,2.8,319.09,257.49
WO0000669,EX-016,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2024-09-23,2024-09-24,8961.8,4.5,821.23,286.61
WO0000685,EX-016,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2024-11-30,2024-12-01,9362.9,2.0,610.93,241.86
WO0000670,EX-016,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2024-12-15,2024-12-16,9520.8,2.1,894.35,138.01
WO0000680,EX-016,HYDRAULIC,PM,PM-OIL,Scheduled hydraulic oil and filter change,2025-01-02,2025-01-03,9611.3,2.6,278.88,112.34
WO0000691,EX-016,FINAL_DRIVE,CM,FDR-GER,Final drive gear wear,2025-01-16,2025-01-21,10218.2,21.9,29199.35,6587.59
WO0000694,EX-016,OTHER,CM,MSC-GEN,Cab / electrical / body repair,2025-03-08,2025-03-10,,14.2,1002.71,912.59
WO0000671,EX-016,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2025-03-19,2025-03-20,10153.3,5.5,750.5,196.44
WO0000686,EX-016,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2025-04-28,2025-04-29,10367.0,4.1,735.34,348.8
WO0000672,EX-016,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2025-06-03,2025-06-04,10664.6,4.6,751.83,281.81
WO0000692,EX-016,FINAL_DRIVE,PM,PM-OIL,Scheduled final_drive oil and filter change,2025-06-30,2025-07-01,10825.2,4.3,573.92,163.21
WO0000673,EX-016,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2025-08-26,2025-08-27,11232.7,4.9,884.59,177.54
WO0000687,EX-016,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2025-10-12,2025-10-13,11491.8,4.5,579.74,334.32
WO0000674,EX-016,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2025-11-02,2025-11-03,11689.1,5.0,204.17,204.43
WO0000681,EX-016,HYDRAULIC,PM,PM-OIL,Scheduled hydraulic oil and filter change,2025-12-28,2025-12-29,12039.1,5.6,485.01,237.07
WO0000675,EX-016,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2026-01-22,2026-01-23,12240.7,6.0,154.35,341.91
WO0000676,EX-016,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2026-04-11,2026-04-12,12773.6,5.1,623.71,224.41
WO0000688,EX-016,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2026-05-02,2026-05-03,12855.0,4.9,688.5,171.73
WO0000677,EX-016,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2026-06-25,2026-06-26,13278.1,5.4,383.08,215.79
WO0000693,EX-016,FINAL_DRIVE,PM,PM-OIL,Scheduled final_drive oil and filter change,2026-06-25,2026-06-26,13253.0,2.5,509.78,316.38
WO0000719,EX-017,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2023-03-14,2023-03-15,3322.2,4.5,568.23,287.73
WO0000696,EX-017,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2023-03-16,2023-03-17,3225.3,5.3,616.53,275.07
WO0000730,EX-017,FINAL_DRIVE,PM,PM-OIL,Scheduled final_drive oil and filter change,2023-04-19,2023-04-20,3548.6,2.7,700.62,236.6
WO0000697,EX-017,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2023-05-13,2023-05-14,3706.3,4.6,661.11,168.93
WO0000714,EX-017,HYDRAULIC,PM,PM-OIL,Scheduled hydraulic oil and filter change,2023-07-11,2023-07-12,4303.8,5.1,374.85,382.69
WO0000698,EX-017,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2023-08-15,2023-08-16,4494.3,4.7,676.47,301.87
WO0000720,EX-017,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2023-09-01,2023-09-02,4757.0,2.8,368.36,215.97
WO0000699,EX-017,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2023-11-10,2023-11-11,5227.9,3.0,659.27,120.61
WO0000737,EX-017,OTHER,CM,MSC-GEN,Cab / electrical / body repair,2023-11-22,2023-11-24,,6.7,1120.78,657.22
WO0000722,EX-017,TRANSMISSION,CM,TRN-GER,Gear / clutch pack wear,2024-01-04,2024-01-07,5935.8,102.2,32297.08,8907.64
WO0000731,EX-017,FINAL_DRIVE,PM,PM-OIL,Scheduled final_drive oil and filter change,2024-01-14,2024-01-15,5814.0,3.1,691.84,242.59
WO0000721,EX-017,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2024-01-19,2024-01-20,5935.8,5.9,302.8,319.7
WO0000700,EX-017,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2024-02-01,2024-02-02,5924.0,3.8,725.96,354.01
